carat,cut,color,clarity,depth,table,price
0.24,Ideal,G,VVS1,62.1,56.0,559
0.58,Very Good,F,VVS2,60.0,57.0,2201
0.4,Ideal,E,VVS2,62.1,55.0,1238
0.43,Premium,E,VVS2,60.8,57.0,1304
1.55,Ideal,E,SI2,62.3,55.0,6901
1.0,Fair,E,SI2,55.4,62.0,3011
0.51,Ideal,F,VS1,60.2,56.0,1765
0.52,Ideal,D,VS2,62.0,56.0,1679
0.62,Premium,E,VS2,60.0,59.0,2102
1.14,Ideal,H,SI1,60.3,57.0,4789
0.4,Ideal,D,SI2,62.8,56.0,855
1.83,Very Good,E,SI2,62.8,56.0,13134
0.6,Fair,F,SI1,55.3,63.0,1367
0.7,Very Good,F,SI1,63.5,56.0,2401
0.53,Good,H,IF,61.2,65.0,1440
1.55,Ideal,I,VS1,61.2,55.0,10286
0.98,Fair,F,SI2,61.6,66.0,2958
0.4,Ideal,E,VVS1,62.6,56.0,1397
1.5,Very Good,F,SI1,62.8,56.0,9904
0.35,Very Good,I,VS1,60.7,62.0,552
2.07,Premium,I,VS2,61.2,58.0,18193
0.4,Premium,E,SI1,60.9,60.0,945
0.31,Ideal,F,VS2,61.9,55.0,625
0.3,Ideal,H,VVS2,61.7,54.2,631
0.91,Ideal,H,SI2,60.6,57.0,3854
0.53,Ideal,E,SI1,61.4,56.0,1415
0.34,Ideal,E,VS1,60.8,57.0,1033
2.02,Ideal,F,SI2,62.7,57.0,13453
1.04,Ideal,D,VS1,59.1,56.0,8341
0.23,Ideal,F,VS2,61.8,55.0,493
1.01,Ideal,F,SI2,62.5,55.0,4416
0.54,Premium,E,SI1,61.4,60.0,1422
2.01,Very Good,J,SI1,63.4,57.0,11566
0.51,Good,G,VVS2,63.3,58.0,1800
0.5,Very Good,F,VVS2,62.8,55.0,2153
0.3,Ideal,J,VS1,62.6,53.0,373
0.3,Ideal,F,VS2,60.9,56.0,776
0.5,Very Good,G,VVS1,63.3,53.0,1885
0.51,Very Good,G,VVS2,63.1,58.0,1974
2.09,Premium,H,VS2,62.2,58.0,18443
0.62,Ideal,G,VS1,60.7,55.0,2206
0.53,Very Good,D,SI1,60.0,59.8,1724
0.4,Premium,E,SI2,61.4,59.0,855
2.0,Very Good,H,SI1,62.2,57.0,15745
0.7,Ideal,E,VS1,62.7,57.0,3016
0.42,Good,F,SI1,63.1,56.0,722
1.6,Ideal,F,SI1,61.0,57.0,12871
1.5,Premium,F,SI1,61.4,59.0,11588
2.52,Good,G,SI2,63.7,59.0,17608
1.35,Very Good,H,VS2,62.3,57.0,7549
0.33,Ideal,G,IF,61.9,56.0,925
1.41,Good,H,VS2,63.8,60.0,9088
0.78,Ideal,D,SI2,61.4,57.0,3454
1.01,Very Good,G,VS1,58.8,58.0,6777
0.9,Very Good,H,VVS2,61.8,60.0,4617
1.23,Ideal,J,VS2,61.2,57.0,6015
0.9,Premium,G,VS2,62.0,60.0,4137
0.31,Very Good,I,VS2,62.3,57.0,435
0.91,Good,F,SI1,63.7,58.0,3924
0.56,Ideal,F,VS2,60.8,56.0,1778
0.91,Premium,E,I1,59.6,59.0,2464
0.3,Very Good,E,VVS2,62.4,57.0,759
2.18,Premium,J,VS2,60.1,58.0,15465
1.06,Premium,I,SI2,61.5,57.0,2968
0.3,Ideal,F,VVS1,62.1,55.0,868
0.32,Ideal,E,SI1,62.2,54.0,516
0.68,Premium,F,VVS2,61.7,57.0,2854
0.53,Ideal,G,VS1,62.7,55.0,1813
0.51,Ideal,G,VS1,62.7,56.0,1656
0.64,Ideal,F,VVS2,60.9,56.0,3217
1.05,Ideal,J,SI2,61.3,56.0,4364
0.33,Very Good,H,VS2,62.8,59.0,521
1.07,Premium,G,SI2,62.1,59.0,4584
2.02,Premium,E,SI2,59.9,58.0,13677
0.53,Ideal,F,SI2,63.0,54.0,1279
0.39,Premium,E,VS1,59.6,60.0,1026
2.1,Premium,I,VS2,60.7,61.0,14394
0.7,Premium,F,VS1,61.7,60.0,2669
1.51,Very Good,G,SI1,61.5,54.0,10947
1.51,Premium,E,SI2,60.6,59.0,10570
0.4,Premium,D,SI2,61.9,58.0,855
0.3,Ideal,G,VVS1,61.4,56.0,737
0.5,Ideal,E,VS1,61.9,54.1,1759
0.33,Good,G,IF,57.9,60.0,1052
1.14,Premium,J,SI2,60.4,59.0,3861
0.41,Ideal,E,VS1,62.7,57.0,1079
0.28,Premium,E,VVS2,60.1,59.0,646
0.78,Ideal,F,SI2,59.7,57.0,2431
1.7,Premium,I,VS2,62.2,58.0,11888
0.6,Ideal,G,IF,62.0,55.0,2570
1.09,Ideal,E,SI1,61.8,55.0,6849
0.81,Ideal,E,SI2,61.4,57.0,2673
0.5,Very Good,G,VS1,61.9,59.0,1603
0.9,Ideal,J,SI1,62.6,54.0,3102
1.01,Very Good,E,SI1,62.8,57.0,5411
0.23,Very Good,E,VVS1,61.1,60.0,530
0.41,Premium,E,SI2,61.7,58.0,953
0.42,Ideal,G,VVS2,62.4,55.0,1103
1.03,Fair,G,SI1,64.7,63.0,4424
0.5,Good,G,VVS2,63.8,56.0,1715
0.35,Ideal,E,VS2,63.5,54.0,722
1.01,Very Good,G,SI1,63.3,57.0,4185
0.54,Good,F,VS1,63.7,55.0,2090
1.09,Ideal,F,SI2,62.0,56.0,5306
0.31,Good,D,SI2,63.9,57.0,462
1.55,Premium,D,VS2,61.5,58.0,15991
0.31,Ideal,D,SI1,61.7,55.0,565
0.41,Ideal,E,VS2,62.1,56.0,935
0.42,Very Good,H,VVS2,62.9,56.0,921
0.25,Ideal,G,VS1,62.3,54.0,438
1.12,Premium,I,SI1,60.8,57.0,4704
0.33,Ideal,E,VS2,62.3,57.0,723
0.44,Good,D,VVS1,59.2,57.0,2250
0.7,Very Good,G,VS2,63.4,58.0,2338
1.0,Good,D,SI1,65.1,54.0,4786
1.01,Premium,H,VS2,61.5,59.0,5303
1.7,Ideal,H,I1,62.6,54.0,7197
1.0,Good,I,SI2,63.9,60.0,3465
0.7,Ideal,G,VVS2,61.6,57.0,3725
0.58,Ideal,F,VVS2,62.2,56.0,2509
1.11,Ideal,H,SI1,61.6,56.0,5456
1.74,Very Good,G,VS2,62.9,57.0,16169
1.02,Ideal,F,VVS2,62.3,58.0,9598
1.6,Ideal,I,SI1,62.0,55.0,9376
0.24,Ideal,F,VS2,62.2,57.0,419
0.42,Good,I,VVS1,59.2,61.0,867
0.3,Ideal,H,VS1,62.5,56.0,675
0.37,Ideal,G,IF,62.4,56.0,1033
0.42,Good,H,SI1,63.2,58.0,700
1.0,Good,E,SI2,63.5,54.0,4400
0.24,Very Good,E,VVS2,62.5,58.0,485
1.02,Ideal,J,VS2,62.0,56.0,4485
0.4,Ideal,G,VVS1,62.4,54.0,1043
0.32,Very Good,F,VS2,63.0,57.0,602
0.31,Ideal,E,IF,61.9,56.0,1060
0.32,Ideal,H,VS2,62.1,56.0,505
0.43,Ideal,F,VVS2,61.9,56.0,1250
1.06,Premium,F,SI1,61.9,59.0,4155
0.57,Very Good,G,SI1,61.1,57.0,1433
1.0,Premium,H,I1,60.4,61.0,1932
1.0,Premium,E,VS1,60.4,59.0,7744
0.8,Fair,G,SI2,67.1,56.0,2400
0.31,Very Good,G,VS1,63.1,59.0,802
2.03,Premium,H,I1,59.4,59.0,7421
1.11,Ideal,H,SI2,62.7,57.0,4578
0.25,Very Good,G,VVS1,61.7,56.0,525
1.02,Premium,E,SI1,62.8,58.0,5429
1.54,Premium,F,SI1,60.9,59.0,11897
0.33,Ideal,D,VS2,62.1,55.0,781
0.39,Premium,F,VVS1,62.7,57.0,1290
1.27,Ideal,I,VS1,62.8,57.0,6396
0.56,Premium,E,VS2,61.4,61.0,1915
2.01,Ideal,H,SI2,60.1,57.0,15562
0.33,Ideal,G,IF,61.9,54.0,1052
0.72,Premium,D,VS2,61.0,59.0,2721
0.33,Ideal,E,VS2,62.3,56.0,723
0.81,Ideal,I,VS2,61.8,56.0,2939
0.81,Fair,I,VS1,66.5,53.0,2297
1.31,Ideal,G,VVS2,60.3,56.0,13168
1.58,Premium,F,SI1,61.4,61.0,12512
1.23,Ideal,H,SI1,61.0,56.0,6439
2.01,Premium,J,VS2,58.6,61.0,10401
0.41,Good,E,VVS1,60.4,61.0,1169
0.52,Ideal,F,VS1,61.3,56.0,2123
0.55,Ideal,H,VVS2,60.7,55.0,1668
1.05,Premium,E,SI1,61.2,58.0,5433
1.06,Very Good,G,I1,60.7,63.0,2080
1.0,Premium,H,SI1,62.7,60.0,4469
1.0,Ideal,I,SI1,62.8,56.0,4237
0.34,Premium,F,VS2,59.2,60.0,686
1.54,Ideal,I,SI2,62.0,59.0,8254
1.47,Very Good,G,VS2,62.7,56.0,11060
0.55,Ideal,E,SI1,61.4,55.0,1668
1.08,Ideal,G,VS2,62.3,54.0,7187
1.09,Very Good,F,VS1,62.9,58.0,7598
0.3,Ideal,F,IF,62.1,57.0,886
0.9,Ideal,J,VS1,62.5,55.0,3175
0.37,Good,D,VS1,62.1,54.0,825
0.35,Very Good,H,SI1,63.2,57.0,647
0.81,Ideal,H,SI1,62.3,58.0,2951
0.24,Very Good,F,VVS2,61.8,56.0,608
0.42,Ideal,F,SI1,61.5,55.0,931
